ticker,name,market,is_kospi200
364950,에이아이코리아,KOSDAQ,No
016610,DB증권,KOSPI,No
065060,지엔코,KOSDAQ,No
173130,오파스넷,KOSDAQ,No
247540,에코프로비엠,KOSDAQ,No
477760,DB금융스팩12호,KOSDAQ,No
293480,하나제약,KOSPI,No
380540,옵티코어,KOSDAQ,No
048550,SM C&C,KOSDAQ,No
131180,딜리,KOSDAQ,No
451700,엔에이치스팩29호,KOSDAQ,No
00499K,롯데지주우,KOSPI,No
455900,엔젤로보틱스,KOSDAQ,No
021080,에이티넘인베스트,KOSDAQ,No
461030,아이엠비디엑스,KOSDAQ,No
267270,HD현대건설기계,KOSPI,No
389500,에스비비테크,KOSDAQ,No
258830,세종메디칼,KOSDAQ,No
064350,현대로템,KOSPI,Yes
248170,샘표식품,KOSPI,No
001070,대한방직,KOSPI,No
473050,유안타제15호스팩,KOSDAQ,No
014910,성문전자,KOSPI,No
007370,진양제약,KOSDAQ,No
040300,YTN,KOSDAQ,No
378340,필에너지,KOSDAQ,No
069330,유아이디,KOSDAQ,No
209640,와이제이링크,KOSDAQ,No
078520,에이블씨엔씨,KOSPI,No
199800,툴젠,KOSDAQ,No
028670,팬오션,KOSPI,Yes
006200,한국전자홀딩스,KOSPI,No
136540,윈스테크넷,KOSDAQ,No
103140,풍산,KOSPI,Yes
067160,SOOP,KOSDAQ,No
052790,액토즈소프트,KOSDAQ,No
065370,위세아이텍,KOSDAQ,No
027830,대성창투,KOSDAQ,No
002240,고려제강,KOSPI,No
432430,와이랩,KOSDAQ,No
064480,브리지텍,KOSDAQ,No
419540,비스토스,KOSDAQ,No
054920,한컴위드,KOSDAQ,No
330350,위더스제약,KOSDAQ,No
001515,SK증권우,KOSPI,No
042110,에스씨디,KOSDAQ,No
016590,신대양제지,KOSPI,No
319660,피에스케이,KOSDAQ,No
018500,동원금속,KOSPI,No
079900,전진건설로봇,KOSPI,No
002785,진흥기업우B,KOSPI,No
043220,티에스넥스젠,KOSDAQ,No
041520,이엘씨,KOSDAQ,No
005710,대원산업,KOSDAQ,No
323280,태성,KOSDAQ,No
049430,코메론,KOSDAQ,No
004720,팜젠사이언스,KOSPI,No
489210,교보17호스팩,KOSDAQ,No
045510,정원엔시스,KOSDAQ,No
052400,코나아이,KOSDAQ,No
148250,알엔투테크놀로지,KOSDAQ,No
096610,알에프세미,KOSDAQ,No
115500,케이씨에스,KOSDAQ,No
289080,SV인베스트먼트,KOSDAQ,No
334890,이지스밸류플러스리츠,KOSPI,No
036570,엔씨소프트,KOSPI,Yes
093520,매커스,KOSDAQ,No
444530,심플랫폼,KOSDAQ,No
050120,ES큐브,KOSDAQ,No
249420,일동제약,KOSPI,No
036200,유니셈,KOSDAQ,No
001380,SG글로벌,KOSPI,No
009900,명신산업,KOSPI,No
244460,올리패스,KOSDAQ,No
192410,오늘이엔엠,KOSDAQ,No
027580,상보,KOSDAQ,No
037230,한국팩키지,KOSDAQ,No
222800,심텍,KOSDAQ,No
000480,CR홀딩스,KOSPI,No
004890,동일산업,KOSPI,No
070960,모나용평,KOSPI,No
290670,대보마그네틱,KOSDAQ,No
234340,헥토파이낸셜,KOSDAQ,No
058450,한주에이알티,KOSDAQ,No
340810,시선AI,KOSDAQ,No
357230,에이치피오,KOSDAQ,No
051380,피씨디렉트,KOSDAQ,No
000270,기아,KOSPI,Yes
006345,대원전선우,KOSPI,No
357550,석경에이티,KOSDAQ,No
052020,에스티큐브,KOSDAQ,No
204610,티쓰리,KOSDAQ,No
348150,고바이오랩,KOSDAQ,No
162300,신스틸,KOSDAQ,No
214330,금호에이치티,KOSPI,No
007860,서연,KOSPI,No
057540,옴니시스템,KOSDAQ,No
072950,빛샘전자,KOSDAQ,No
171120,라이온켐텍,KOSDAQ,No
099430,바이오플러스,KOSDAQ,No
384470,코어라인소프트,KOSDAQ,No
060310,3S,KOSDAQ,No
058730,다스코,KOSPI,No
328380,솔트웨어,KOSDAQ,No
061970,LB세미콘,KOSDAQ,No
001720,신영증권,KOSPI,No
011090,에넥스,KOSPI,No
194370,제이에스코퍼레이션,KOSPI,No
073540,에프알텍,KOSDAQ,No
036220,오상헬스케어,KOSDAQ,No
317870,엔바이오니아,KOSDAQ,No
014580,태경비케이,KOSPI,No
008930,한미사이언스,KOSPI,Yes
005500,삼진제약,KOSPI,No
068760,셀트리온제약,KOSDAQ,No
005420,코스모화학,KOSPI,Yes
060260,뉴보텍,KOSDAQ,No
004360,세방,KOSPI,No
095340,ISC,KOSDAQ,No
086520,에코프로,KOSDAQ,No
067630,HLB생명과학,KOSDAQ,No
111870,KH 미래물산,KOSDAQ,No
016360,삼성증권,KOSPI,Yes
170920,엘티씨,KOSDAQ,No
189300,인텔리안테크,KOSDAQ,No
008110,대동전자,KOSPI,No
489790,한화비전,KOSPI,Yes
005360,모나미,KOSPI,No
219550,디와이디,KOSDAQ,No
214270,FSN,KOSDAQ,No
019210,와이지-원,KOSDAQ,No
044820,코스맥스비티아이,KOSPI,No
184230,SGA솔루션즈,KOSDAQ,No
016920,카스,KOSDAQ,No
007815,코리아써우,KOSPI,No
221800,유투바이오,KOSDAQ,No
014100,메디앙스,KOSDAQ,No
073240,금호타이어,KOSPI,Yes
006405,삼성SDI우,KOSPI,No
032080,아즈텍WB,KOSDAQ,No
090435,아모레퍼시픽우,KOSPI,No
900300,오가닉티코스메틱,KOSDAQ,No
383800,LX홀딩스,KOSPI,No
298690,에어부산,KOSPI,No
454910,두산로보틱스,KOSPI,Yes
481890,엔에이치스팩31호,KOSDAQ,No
377460,위니아에이드,KOSDAQ,No
067000,조이시티,KOSDAQ,No
036890,진성티이씨,KOSDAQ,No
286750,나노실리칸첨단소재,KOSDAQ,No
199820,제일일렉트릭,KOSDAQ,No
179900,유티아이,KOSDAQ,No
009450,경동나비엔,KOSPI,No
424760,벨로크,KOSDAQ,No
000300,DH오토넥스,KOSPI,No
148780,비큐AI,KOSDAQ,No
298040,효성중공업,KOSPI,Yes
034940,조아제약,KOSDAQ,No
102260,동성케미컬,KOSPI,No
053300,한국정보인증,KOSDAQ,No
215360,우리산업,KOSDAQ,No
078600,대주전자재료,KOSDAQ,No
123700,SJM,KOSPI,No
293490,카카오게임즈,KOSDAQ,No
005320,온타이드,KOSPI,No
083550,케이엠,KOSDAQ,No
303530,이노뎁,KOSDAQ,No
086960,MDS테크,KOSDAQ,No
373160,데이원컴퍼니,KOSDAQ,No
001065,JW중외제약우,KOSPI,No
115530,씨엔플러스,KOSDAQ,No
086390,유니테스트,KOSDAQ,No
223310,딥마인드,KOSDAQ,No
041830,인바디,KOSDAQ,No
452200,민테크,KOSDAQ,No
004250,NPC,KOSPI,No
039240,경남스틸,KOSDAQ,No
237820,플레이디,KOSDAQ,No
017550,수산세보틱스,KOSPI,No
263810,상신전자,KOSDAQ,No
205470,휴마시스,KOSDAQ,No
005490,POSCO홀딩스,KOSPI,Yes
453860,에이에스텍,KOSDAQ,No
382840,원준,KOSDAQ,No
460860,동국제강,KOSPI,No
314130,지놈앤컴퍼니,KOSDAQ,No
004830,덕성,KOSPI,No
234920,자이글,KOSDAQ,No
094940,푸른기술,KOSDAQ,No
020000,한섬,KOSPI,No
221840,하이즈항공,KOSDAQ,No
024940,PN풍년,KOSDAQ,No
479880,한국제15호스팩,KOSDAQ,No
003495,대한항공우,KOSPI,No
294090,이오플로우,KOSDAQ,No
000240,한국앤컴퍼니,KOSPI,Yes
418420,라온텍,KOSDAQ,No
003310,대주산업,KOSDAQ,No
147760,피엠티,KOSDAQ,No
310870,디와이씨,KOSDAQ,No
144960,뉴파워프라즈마,KOSDAQ,No
442130,유진스팩9호,KOSDAQ,No
004560,현대비앤지스틸,KOSPI,No
330590,롯데리츠,KOSPI,No
